# SampleCounter	Dev.DutyCycle.value	Controller.enabled	Controller.alfa	Controller.alfa_dot	Controller.alfa_int	Controller.x	Controller.x_dot	Controller.x_int
8440	-0.0775522	1	-0.188045	-5.64391	35.334	-0.0863122	-0.0158371	-200.336
8441	-0.0768326	1	-0.228711	-2.06789	35.1049	-0.0864479	-0.0135747	-200.42
8442	-0.0822881	1	-0.217695	2.50413	34.8869	-0.0865611	-0.0113122	-200.505
8443	-0.0856029	1	-0.189252	3.16416	34.6973	-0.0866289	-0.00678733	-200.589
8444	-0.084734	1	-0.175779	1.12418	34.5211	-0.0866742	-0.00452489	-200.674
8445	-0.0903292	1	-0.128974	2.1682	34.3918	-0.0867194	-0.00452489	-200.759
8446	-0.104013	1	-0.0286833	5.85222	34.3628	-0.0867421	-0.00226244	-200.844
8447	-0.107566	1	0.0330387	3.20024	34.3955	-0.0867873	-0.00452489	-200.928
8448	-0.115586	1	0.100708	4.35225	34.4958	-0.0868326	-0.00452489	-201.013
8449	-0.0970712	1	0.0347401	-7.59974	34.5302	-0.0869231	-0.00904977	-201.098
8450	-0.0978088	1	0.00368301	-3.75974	34.5336	-0.0870136	-0.00904977	-201.183
8451	-0.0964737	1	-0.00541072	-4.17972	34.5278	-0.0871267	-0.0113122	-201.268
8452	-0.104144	1	0.0215174	0.776297	34.549	-0.0872172	-0.00904977	-201.353
8453	-0.095998	1	-0.00195674	-5.01968	34.5467	-0.0873077	-0.00904977	-201.439
8454	-0.102035	1	0.011862	-0.375662	34.5582	-0.0873755	-0.00678733	-201.524
8455	-0.102968	1	0.0281142	-1.09564	34.586	-0.0874208	-0.00452489	-201.609
8456	-0.0961481	1	0.00367697	-5.47561	34.5893	-0.087466	-0.00452489	-201.695
8457	-0.0932832	1	-0.0354147	-4.39558	34.5535	-0.0874887	-0.00226244	-201.78
8458	-0.100921	1	-0.0171768	1.43645	34.536	-0.0875113	-0.00226244	-201.866
8459	-0.108162	1	0.0307998	3.84848	34.5665	-0.0875565	-0.00452489	-201.951
8460	-0.101306	1	0.014657	-1.40748	34.5808	-0.0875565	0	-202.037
8461	-0.0939748	1	-0.0299094	-4.25145	34.5505	-0.0876018	-0.00452489	-202.123
8462	-0.0935714	1	-0.046555	-2.94342	34.5036	-0.0876244	-0.00226244	-202.208
8463	-0.0993901	1	-0.0291137	1.16062	34.4742	-0.087647	-0.00226244	-202.294
8464	0.0375159	1	-0.0330664	-1.98334	34.4408	-0.0876697	-0.00226244	-202.379
8465	0.0412962	1	-0.0838281	-0.603305	34.3566	-0.0875339	0.0135747	-202.465
8466	0.0339027	1	-0.0318915	1.62873	34.3244	-0.0873529	0.0180995	-202.55
8467	0.00802971	1	0.11921	12.2728	34.4432	-0.0871946	0.0158371	-202.635
8468	-0.0027896	1	0.238105	10.9648	34.681	-0.0871946	0	-202.721
8469	-0.0102409	1	0.368576	5.00083	35.0492	-0.0871041	0.00904977	-202.806
8470	-0.0154348	1	0.440354	2.57684	35.4892	-0.0870136	0.00904977	-202.891
8471	-0.0104955	1	0.453985	-4.17915	35.9428	-0.0869683	0.00452489	-202.976
8472	-0.00829174	1	0.427674	-4.17914	36.3702	-0.0869457	0.00226244	-203.06
8473	-0.00472538	1	0.3854	-3.90313	36.7552	-0.0869683	-0.00226244	-203.145
8474	-0.000747065	1	0.346	-4.28711	37.1008	-0.0869457	0.00226244	-203.23
8475	0.000707482	1	0.320572	-3.51909	37.421	-0.0869457	0	-203.315
8476	0.00616501	1	0.267882	-3.97506	37.6885	-0.0869457	0	-203.4
8477	0.0138141	1	0.196747	-4.70704	37.8849	-0.0869457	0	-203.485
8478	0.0105473	1	0.181167	-0.063002	38.0657	-0.0869457	0	-203.57
8479	0.00141143	1	0.215534	5.42103	38.2808	-0.0869231	0.00226244	-203.655
8480	0.00525801	1	0.218209	1.08907	38.4987	-0.0869231	0	-203.74
8481	0.000388615	1	0.236581	3.8851	38.7349	-0.0869231	0	-203.825
8482	-0.0150928	1	0.325384	10.1611	39.0599	-0.0869231	0	-203.91
8483	-0.0147808	1	0.369335	5.08514	39.4288	-0.0869231	0	-203.994
8484	-0.0113041	1	0.37617	0.549157	39.8046	-0.0869231	0	-204.079
8485	-0.0194106	1	0.405901	5.27717	40.2101	-0.0869231	0	-204.164
8486	-0.0313476	1	0.483835	8.93717	40.6935	-0.0869231	0	-204.249
8487	-0.0372052	1	0.559858	6.63317	41.253	-0.0869231	0	-204.334
8488	-0.0398336	1	0.598283	4.82117	41.8508	-0.0869231	0	-204.419
8489	-0.0478215	1	0.662303	5.74515	42.5127	-0.0869231	0	-204.504
8490	-0.0476491	1	0.691349	1.97713	43.2037	-0.0869231	0	-204.589
8491	-0.0499277	1	0.715506	1.12511	43.9187	-0.0869457	-0.00226244	-204.673
8492	-0.051828	1	0.730329	0.813085	44.6486	-0.0869457	0	-204.758
8493	-0.185141	1	0.735016	-0.41094	45.3832	-0.0869683	-0.00226244	-204.843
8494	-0.189651	1	0.778466	-1.02297	46.1612	-0.0871041	-0.0135747	-204.928
8495	-0.15797	1	0.614512	-16.923	46.7752	-0.0872851	-0.0180995	-205.014
8496	-0.129863	1	0.360558	-19.995	47.1353	-0.0875565	-0.0271493	-205.099
8497	-0.109041	1	0.147506	-19.659	47.2824	-0.0878733	-0.0316742	-205.185
8498	-0.0883107	1	-0.065019	-19.071	47.2169	-0.0881448	-0.0271493	-205.271
8499	-0.0840833	1	-0.21185	-8.40294	47.0046	-0.0883484	-0.020362	-205.357
8500	-0.0804862	1	-0.273522	-5.55888	46.7306	-0.0884841	-0.0135747	-205.444
8501	-0.0896153	1	-0.258363	2.31318	46.4717	-0.0885294	-0.00452489	-205.53
8502	-0.108005	1	-0.136577	8.66124	46.3347	-0.0885294	0	-205.617
8503	-0.120083	1	-0.00506221	7.5933	46.3292	-0.0885294	0	-205.703
8504	-0.122424	1	0.0551232	3.86135	46.3838	-0.088552	-0.00226244	-205.79
8505	-0.124827	1	0.0852612	3.1654	46.4686	-0.0885746	-0.00226244	-205.876
8506	-0.121975	1	0.0827972	0.477437	46.551	-0.0886199	-0.00452489	-205.963
8507	-0.124432	1	0.101436	0.969476	46.6519	-0.0886651	-0.00452489	-206.049
8508	-0.116235	1	0.065621	-3.71049	46.7171	-0.0887104	-0.00452489	-206.136
8509	-0.117632	1	0.0518303	-0.986446	46.7684	-0.0887783	-0.00678733	-206.223
8510	-0.102546	1	-0.0334037	-7.5144	46.7346	-0.0888235	-0.00452489	-206.309
8511	-0.105564	1	-0.0583253	-1.94636	46.6758	-0.0888914	-0.00678733	-206.396
8512	-0.0995663	1	-0.0893206	-4.75431	46.586	-0.0889819	-0.00904977	-206.483
8513	-0.0998008	1	-0.105595	-2.78625	46.4799	-0.0890271	-0.00452489	-206.57
8514	-0.097578	1	-0.116217	-3.8302	46.3633	-0.0890498	-0.00226244	-206.657
8515	-0.0994784	1	-0.114425	-1.99414	46.2484	-0.0890724	-0.00226244	-206.744
8516	-0.0996072	1	-0.114745	-1.71807	46.1332	-0.0890724	0	-206.831
8517	-0.0983354	1	-0.121683	-2.17401	46.011	-0.0890724	0	-206.918
8518	-0.0911387	1	-0.173075	-4.05794	45.8375	-0.0890724	0	-207.005
8519	-0.0820494	1	-0.239251	-6.28987	45.5978	-0.0890724	0	-207.092
8520	-0.0920024	1	-0.229225	2.89021	45.3681	-0.0890724	0	-207.179
8521	-0.0847174	1	-0.245497	-2.52172	45.1221	-0.0890724	0	-207.266
8522	0.0500741	1	-0.263915	-1.87364	44.8578	-0.0890724	0	-207.353
8523	0.0399244	1	-0.212253	3.32244	44.6451	-0.0888914	0.0180995	-207.44
8524	0.0288378	1	-0.11024	4.31852	44.5344	-0.088552	0.0339366	-207.526
8525	0.00901241	1	0.0246508	10.6306	44.5586	-0.088371	0.0180995	-207.613
8526	0.00636788	1	0.0982376	5.81866	44.6564	-0.088371	0	-207.699
8527	-0.0084125	1	0.218065	8.39872	44.874	-0.088371	0	-207.785
8528	-0.01575	1	0.322538	4.96677	45.1961	-0.0882353	0.0135747	-207.872
8529	-0.00529338	1	0.317758	-5.32919	45.5134	-0.0881674	0.00678733	-207.958
8530	0.00849739	1	0.230114	-10.5851	45.743	-0.0881674	0	-208.044
8531	0.0123728	1	0.162499	-7.86109	45.9051	-0.0881674	0	-208.13
8532	0.0257216	1	0.062114	-11.233	45.9667	-0.0881674	0	-208.216
8533	0.0242705	1	0.0127805	-4.86096	45.9791	-0.0881674	0	-208.302
8534	0.033813	1	-0.0490307	-8.17288	45.9296	-0.0881448	0.00226244	-208.388
8535	0.0349431	1	-0.0833738	-5.7848	45.8457	-0.0881222	0.00226244	-208.474
8536	0.0413106	1	-0.139055	-6.4447	45.7062	-0.0880995	0.00226244	-208.56
8537	0.0620685	1	-0.274525	-13.3806	45.4312	-0.0880769	0.00226244	-208.646
8538	0.0562197	1	-0.306211	-4.0565	45.1246	-0.0879638	0.0113122	-208.732
8539	0.0588245	1	-0.336927	-3.25238	44.7872	-0.0877149	0.0248869	-208.818
8540	0.0605817	1	-0.358945	-2.44826	44.4278	-0.0873982	0.0316742	-208.903
8541	0.0586029	1	-0.348391	-1.17614	44.079	-0.0870136	0.0384615	-208.988
8542	0.0561815	1	-0.339974	0.743984	43.7386	-0.0865837	0.0429864	-209.072
8543	0.0485166	1	-0.270576	1.74011	43.4675	-0.086267	0.0316742	-209.156
8544	0.0458515	1	-0.238893	1.47623	43.2282	-0.0860633	0.020362	-209.24
8545	0.0493718	1	-0.237993	-1.89565	42.9898	-0.0859276	0.0135747	-209.324
8546	0.0384167	1	-0.190137	4.46447	42.7992	-0.0858371	0.00904977	-209.408
8547	0.0535829	1	-0.23457	-6.02341	42.5642	-0.0857918	0.00452489	-209.492
